date,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
2022-10-13,1.50750097362844,0.0402442184854487,1.42964621621342,1.44192151733876,1.48016499150249,1.50714286911592,1.53444658286932,1.57430196005065,1.58739079115777
2022-10-14,1.45596471793668,0.0371356348106558,1.38408144388217,1.3954252389293,1.43074799430266,1.45564900465527,1.48083727923539,1.51758112602102,1.5296421498107
2022-10-15,1.31968221306254,0.0335398398118316,1.25475639262936,1.26500293161452,1.29690772588401,1.31939808461238,1.34214696882537,1.37533068459615,1.38622269889125
2022-10-16,1.19842395982631,0.0306366727333019,1.13912240257815,1.14848029081399,1.17762000314529,1.19816290325279,1.21894333603838,1.24925811851915,1.25920906782342
2022-10-17,1.06465798121159,0.0280838768660828,1.01031957456436,1.01888909120478,1.04558350293077,1.06441105633854,1.083463284405,1.11126915646182,1.12039962923092
2022-10-18,0.982138908165955,0.026620597947625,0.930650233764583,0.938765950112331,0.964054898269005,0.981898404041388,0.999960742533292,1.02633224981824,1.0349943350041
2022-10-19,0.942536595090288,0.0260595700696961,0.892146591151186,0.900085925195075,0.92483122659236,0.942296438041687,0.959980166592979,0.985806464799909,0.994291378566585
2022-10-20,0.916072867618647,0.0258468115194647,0.86610826930111,0.873977261536647,0.89850949202436,0.915829791561896,0.933371264383078,0.95899763068121,0.967418833243098
2022-10-21,0.894924645052522,0.0258002661639906,0.845065199003362,0.85291403865639,0.877390127746638,0.894676720663023,0.912188898552504,0.937780946735821,0.946193010182071
2022-10-22,0.861743932034834,0.0256448323070183,0.812207682124139,0.820000245260908,0.844310892027863,0.861489555270794,0.878899674821908,0.904355324046465,0.912725767957735
2022-10-23,0.897803413566102,0.0266120891761586,0.846395781126761,0.854483442730069,0.879713391342864,0.897540488002556,0.91560681943842,0.942020250439353,0.950705213729513
2022-10-24,0.978456128416418,0.0282201703618867,0.923920500742131,0.932505385055014,0.959276923588236,0.978184837511061,0.997339597469917,1.02533227262845,1.03453346374731
2022-10-25,1.0831751653399,0.0299023111644939,1.02535345119868,1.03446399419221,1.06285918585118,1.08290001506896,1.10319120144343,1.13282490168682,1.14256052074293
2022-10-26,1.08502694114886,0.0297724647478044,1.02745155993245,1.0365244148385,1.06480004933427,1.08475464066065,1.10495699608356,1.13445831171919,1.14414976888225
2022-10-27,1.10867549404334,0.0297781186045555,1.05107265639979,1.0601537518296,1.08844778451605,1.10840890012596,1.12861258725178,1.15810661468321,1.16779334914413
2022-10-28,1.15804647065327,0.0300800091950949,1.09983422074612,1.10901741691836,1.13761835277067,1.1577860404686,1.17819069104176,1.20796387749225,1.21773871122644
2022-10-29,1.23726295227474,0.0305784884205089,1.17804919371099,1.18739911196642,1.21650306464238,1.23701104944905,1.25774823775632,1.28798605773783,1.29790824279549
2022-10-30,1.25020648103025,0.02998723770951,1.19211677081643,1.2012941513093,1.22985183604393,1.24996673296329,1.27029977368826,1.29993661468552,1.30965864985319
2022-10-31,1.30134760438694,0.0287408159215796,1.24562023798726,1.25443677652975,1.28184861547788,1.30113602611824,1.32061594873586,1.34898014593356,1.35827734524788
2022-11-01,1.30134760438694,0.0287408159215796,1.24562023798726,1.25443677652975,1.28184861547788,1.30113602611824,1.32061594873586,1.34898014593356,1.35827734524788
2022-11-02,1.27573738938737,0.0274611762823801,1.22247652490753,1.23090632349981,1.25710927230409,1.27554035419321,1.29415071540464,1.32124056106246,1.33011798208883
2022-11-03,1.24434507776498,0.026232145890458,1.19345678196987,1.20151370700394,1.2265527237656,1.24416074857709,1.26193649161942,1.28780521285587,1.29628089526844
2022-11-04,1.25627679720459,0.0255789073576655,1.2066381546256,1.21450140022801,1.2389307652941,1.25610319840666,1.27343358620355,1.29864435604213,1.3069019822844
2022-11-05,1.24079327015458,0.0246821381750223,1.19288387005377,1.20047580675155,1.22405741597322,1.24062961311565,1.25735071902033,1.28166898308701,1.28963271507659
2022-11-06,1.24034907600968,0.0239676471856825,1.19381353671986,1.20119085374828,1.22410009782794,1.24019470135008,1.25642976766642,1.28003388467185,1.28776190963478
2022-11-07,1.1790965578301,0.0227162906308966,1.13498940516469,1.1419820437016,1.16369617362964,1.17895067820026,1.19433791607821,1.21670868101268,1.22403272852743
2022-11-08,1.14869662887688,0.0218882230557481,1.10619289140795,1.11293237448856,1.13385844590266,1.14855760638628,1.16338326095802,1.18493510195643,1.1919904160838
2022-11-09,1.18142013278224,0.0217843597775731,1.13910529327205,1.14581786221014,1.16665473450859,1.18128624059744,1.196039572721,1.21747912203892,1.22449586728098
2022-11-10,1.16624978242549,0.0212144909197442,1.12503684797837,1.13157581266647,1.15187157531496,1.166121151948,1.18048776705494,1.20136252267576,1.20819371022461
2022-11-11,1.0950188887059,0.0201330949091537,1.05591051574038,1.06211467223461,1.0813729039163,1.09489550167462,1.10853036701559,1.12834398980267,1.13482845701169
2022-11-12,1.06309790148655,0.0195494979851562,1.02512321873271,1.03114751272807,1.04984746134772,1.06297807081328,1.07621771199732,1.09545704380322,1.10175356917637
2022-11-13,1.04868111346257,0.0192486179923599,1.01129026083825,1.01722208484434,1.03563472286828,1.04856334588711,1.061599123446,1.0805418582181,1.08674122666866
