Date,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
2021-10-31,1.79132467460711,0.166203399464307,1.48041435087237,1.52698780397376,1.67659794516677,1.78618705508659,1.90045188628711,2.07318719463895,2.13142847942727
2021-11-01,1.41022561382132,0.135776015319287,1.15669888861073,1.19456888694635,1.31642720822934,1.40587052692864,1.49927746243246,1.64073863501175,1.6884990288691
2021-11-02,1.16694058314311,0.116932940976425,0.949047695664381,0.981491012402121,1.08608745475208,1.1630371719154,1.24353950832974,1.36570572240334,1.40701340882821
2021-11-03,1.02206060784875,0.1069613067833,0.823215140636248,0.852714634705519,0.948028103566503,1.01833177933756,1.09202926899968,1.20412666176217,1.24209375442999
2021-11-04,0.924027820510138,0.101412762934105,0.736004771302634,0.76378164788107,0.853755642406883,0.920320437493254,0.990259632690425,1.09692098896968,1.13311639936096
2021-11-05,0.850576762060993,0.0983903223792317,0.668730451935364,0.695462879053385,0.782309497550451,0.84678602368165,0.914712949827938,1.01862208055552,1.05396186380605
2021-11-06,0.790173502870091,0.0969344843010058,0.611686250208889,0.637771310248598,0.722813370748499,0.786213246677678,0.853217992258508,0.956085527905927,0.991162259259805
2021-11-07,0.735829014121884,0.0964833820127383,0.558976945706276,0.584638662115888,0.668660277677109,0.731616305848896,0.798407235657867,0.90139056134312,0.936616319266392
2021-11-08,0.702077423984047,0.0980167755399335,0.523237934458974,0.54899984749088,0.63371839456746,0.697521367762522,0.765472070399045,0.870697674748781,0.906802178703125
2021-11-09,0.666730958774457,0.100004541673787,0.485294838305037,0.511196075875389,0.596834905204421,0.661737707591091,0.731186642650639,0.839300241768805,0.876535174488182
2021-11-10,0.625177115094211,0.101966215149108,0.441512295492428,0.467429851166933,0.553720087874362,0.619642385077358,0.690604399878449,0.801806426660675,0.840284663910533
2021-11-11,0.574458277008436,0.103620109139244,0.389603739498385,0.415285430642599,0.501594944883023,0.568240141470428,0.64054830457483,0.754845298449933,0.794635249076444
2021-11-12,0.510103818930296,0.10439115051679,0.326418794647461,0.351368271267915,0.436362357610179,0.50300065579487,0.576109674441229,0.69307412395027,0.734133814315946
2021-11-13,0.424769216812285,0.102959885380762,0.247534848181406,0.270739037316725,0.351555733943729,0.416479982697355,0.488959118956442,0.607083271349266,0.649074824240382
2021-11-14,0.305230784117893,0.0957440294266924,0.14739982794679,0.166560022403249,0.236401831692181,0.29528035097263,0.363238376784564,0.477860452266164,0.519536122928367
2021-11-15,0.507503221685108,0.138386630882491,0.273557678676054,0.30324953398765,0.408615911287734,0.494981677027728,0.592764910632058,0.754485341739135,0.812538814165657
2021-11-16,0.789232423922578,0.192928342344916,0.457531015398909,0.500868883844021,0.651996226920304,0.773568828759511,0.909417799126683,1.13104233017025,1.20987993031056
2021-11-17,1.09162355342779,0.24397000437592,0.666980467175961,0.723624090900492,0.918700931131438,1.07350315615204,1.24481625578742,1.52144922527406,1.61917707123912
2021-11-18,1.35347462635949,0.280359390079475,0.860863253310512,0.927615304723445,1.15533973718745,1.33416669386157,1.53058298946313,1.84520960419631,1.95575087800459
2021-11-19,1.53285096402925,0.297252669483774,1.00660172016387,1.07880482285172,1.32328999770769,1.51367981747188,1.72153169101143,2.05230428277576,2.16799570543877
2021-11-20,1.62630601202996,0.297529319620428,1.09629028201424,1.16975190585236,1.41698651560389,1.60819831569074,1.8159015595841,2.14463775056974,2.25918218457876
2021-11-21,1.65517082263542,0.28741814315954,1.14049142981982,1.21243450251838,1.45332930410647,1.63856428978613,1.83892210382959,2.15456231830959,2.26418738058668
2021-11-22,1.76726401161499,0.282398240353273,1.25766881394583,1.32979126253403,1.56949325441845,1.75224513352268,1.94867222121476,2.25597423852557,2.36218243538805
2021-11-23,1.80509293261601,0.268600550790682,1.3174588819141,1.38714448418342,1.61740631953971,1.79178783274533,1.97828292306891,2.26843144233096,2.36831742613139
2021-11-24,1.77837586358215,0.248624789507966,1.32478791958352,1.3901164993526,1.60497243909119,1.766803098455,1.93916935504508,2.206114935859,2.29771450742274
2021-11-25,1.72400341031997,0.228023499309604,1.30629839971433,1.36684951440513,1.56522184569728,1.71396080252352,1.87184179844418,2.11541662175917,2.19876702860105
2021-11-26,1.66210536572704,0.209134780491037,1.27767153738373,1.33370545086412,1.5166776972095,1.65334216579633,1.79798361798153,2.02039977147464,2.09632971047237
2021-11-27,1.60196045482751,0.192625618723748,1.24681375714653,1.29882300752098,1.46817500420883,1.59424643385752,1.72733952336529,1.93141307129727,2.00093724179744
2021-11-28,1.54717474921763,0.178458216946777,1.21728789663444,1.26579647790829,1.42336207711478,1.54031878925061,1.66351590908501,1.85194090966288,1.91601687178035
2021-11-29,1.47495397138841,0.165031214950458,1.16932666390176,1.21439739464544,1.36054419722942,1.46880349601493,1.58266093362168,1.75649171655421,1.81552836609047
2021-11-30,1.41792037743782,0.154165649353255,1.13193644259687,1.17422101164759,1.31111838787081,1.41233700658042,1.51863748685242,1.68066627436076,1.73562938615476
2021-12-01,1.37523935897824,0.145525023000831,1.10486870771285,1.14494079938557,1.27448890855122,1.37010972529325,1.47039933907996,1.62303656125864,1.67475715218846
2021-12-02,1.34203876978448,0.138405706359928,1.08453036713872,1.12278050630506,1.24627503935541,1.33728381056113,1.43262029527821,1.57751750734975,1.62656556632945
2021-12-03,1.3153686078115,0.132377014101463,1.06875350264814,1.10546040939529,1.22382769937594,1.31093053183376,1.40207260902267,1.5404162645211,1.58720169178347
2021-12-04,1.29336124157633,0.127161820439575,1.05617305447632,1.09154375718702,1.20547298747633,1.28919616829924,1.3767100750148,1.5093868653893,1.55421629416473
2021-12-05,1.27479047478117,0.122574156972651,1.04589956117377,1.0800931756093,1.19011479325133,1.27086403483198,1.35518677400691,1.48288184427315,1.52599240634854
2021-12-06,1.21899674630211,0.116595100810866,1.00121344713628,1.03376103917272,1.13846073631293,1.21528138970356,1.29548342204409,1.41690645920909,1.45789166079554
2021-12-07,1.17592190478708,0.111891636666146,0.966869725774675,0.998125044973445,1.09864349309938,1.1723749008404,1.24933445960707,1.36581847165538,1.40512910018767
2021-12-08,1.14689214314119,0.108569131738662,0.94399568955904,0.974342694572327,1.07191681176971,1.14346811398337,1.21813563886786,1.33112179575224,1.36924486073807
